Id,Name,Date,Rating,Popularity,Length,Tags
773,Monobeno,2012-04-27,7.49,2.50,Long,"['Countryside', 'Multiple Route Mystery', 'One True End', ""Protagonist's Full Sister as a Heroine"", ""Protagonist's Younger Sister as a Heroine"", 'Loli Heroine', 'Youkai Heroine', 'ADV', 'Central Heroine', 'Few Choices', 'Japanese Mythology', 'Male Protagonist', 'Normal Scene Recollection', 'Homecoming', 'Enforced Playing Order', 'Heroine with Kimono', 'Lip Sync', 'Protagonist with Glasses', 'Unlockable Routes', 'Close-up CGs', 'Varying Ending Songs', 'Protagonist with a Face', 'Youkai', 'Heroine with Shorts', 'Fictional Modern Day Japanese Town', 'Summer', 'Protagonist with Voice Acting', 'Sprite Viewer', 'Multiple Credit Rolls', 'Alternate Starting Point']"
774,Natsu no Ame,2009-09-25,7.36,2.49,Medium,"['ADV', 'Brother/Sister Romance', 'Male Protagonist', ""Protagonist's Half-sister as a Heroine"", ""Protagonist's Older Sister as a Heroine"", 'Branching Plot', 'Romance', 'Multiple Endings', 'Student Heroine', 'Classic Tsundere Heroine', 'Summer', 'Athlete Protagonist', 'Tsundere Heroine', 'Heroine with Swimsuits', 'High School', 'High School Student Protagonist', 'Only Virgin Heroines', 'Adult Heroine', 'Pre-rendered Backgrounds', 'Protagonist with a Face', 'Sprite Viewer']"
775,Boku to Nurse no Kenshuu Nisshi,2018-03-30,6.65,2.49,Short,"['Male Protagonist', 'Nurse Heroine', 'Only a Single Heroine', 'Only Virgin Heroines', ""Protagonist's Childhood Friend as a Heroine"", 'Kinetic Novel', 'ADV', 'Ear-Cleaning', 'Heroine with Big Breasts', 'Hospital', 'Kissing Scene', 'Marriage Ending', 'Only Adult Heroines']"
776,Cocoro@Function!,2013-10-25,7.06,2.49,Long,"[""Protagonist's Full Sister as a Heroine"", ""Protagonist's Younger Sister as a Heroine"", 'High School', 'Fictional Island Near Futuristic Japan', 'Virtual Reality', 'Twin Sisters as Heroines', 'Student Heroine', ""Super Deformed CG's"", 'Comedy', 'Multiple Endings', 'ADV', 'Protagonist with a Face', 'Student Protagonist', 'Branching Plot', 'Romance', 'Transfer Student Heroine', 'Male Protagonist', 'School Dormitory', 'Bleep Censor', 'Brocon Heroine', 'Brother/Sister Romance', 'Highly Animated Sprites', 'Super Deformed Sprites', 'Other Perspectives', 'Naked Sprites', 'Title Parody', 'Built-in Encyclopedia']"
777,Sorceress * Alive! ~the World's End Fallen Star~,2019-01-25,7.46,2.49,Long,"['Fighting Heroine', 'Magic/ESP Combat', 'Magic School', 'Mage Heroine', 'Magic', 'Sword Wielding Heroine', 'Tournament', 'ADV', 'Enforced Playing Order', 'Genre Savvy Protagonist', 'Heroine with Big Breasts', 'Heroine with Small Breasts (Non-Loli)', 'Imouto-type Heroine', 'Male Protagonist', 'Ojousama Heroine', 'One True End', 'Protagonist from a Different World', 'Protagonist with a Face', 'Read Text Marking', 'Student Heroine', 'Other Perspectives', ""Super Deformed CG's""]"
778,Venus Blood -Hypno-,2014-11-28,7.56,2.49,Very long,"['ADV', 'Demons', 'Leader Heroine', 'Leader Protagonist', 'Male Protagonist', 'Mind Control', 'Proactive Protagonist', 'Simulation Game', 'Skip Scenes', 'Turn Based Strategy Game', 'War', 'Intrigue', 'Betrayal', 'Combat Capable Friends', 'Bad Ending(s)', 'Deities', 'Demon Heroine', 'Fictional World', 'Goddess Heroine', 'Half-demon Heroine', 'Harem Ending', 'More Than Seven Endings', 'Multiple True Endings', 'Music Recollection', 'Side Portraits', 'SRPG', 'Third-person Narrative']"
779,Josou Kaikyou,2013-05-31,6.79,2.48,Medium,"['Only Trap Heroines', 'Trap Heroine', 'Male Protagonist', 'ADV', 'Confinement', 'Island', 'Marriage Ending', 'Reincarnation', 'Tsundere Heroine', 'University Student Hero', 'Deities', 'Fake Options', 'Harem Ending', 'Miko Heroine', 'Bad Ending(s)', 'Classic Tsundere Heroine', 'University Student Heroine', 'Other Perspectives', 'Time Travel', 'Only Virgin Heroines', 'World War II']"
780,"Baku Ane 2 ~Otouto, Ippai Shibocchau zo!~",2017-01-18,7.37,2.48,Medium,"['Heroine with Huge Breasts', 'Male Protagonist', ""Protagonist's Older Sister as a Heroine"", ""Protagonist's Full Sister as a Heroine"", 'Big Ass Heroine', 'Brocon Heroine', 'Infidelity', 'Multiple Endings', 'Only Adult Heroines', 'University Student Heroine', 'Protagonist in Relationship', ""Protagonist's Cousin as a Heroine"", ""Protagonist's Girlfriend as a Heroine"", 'ADV', 'Brother/Sister Romance', 'Hero(ine) Selection', 'Marriage Ending', 'More Than Seven Endings', 'Nameable Protagonist', 'Only Virgin Heroines', 'Shimaidon Ending', 'Unlockable Routes', 'Lawyer Heroine', 'Harem Ending', 'Other Perspectives', 'Unlockable Harem Ending']"
781,Date Warp,2010-05-22,6.38,2.48,Short,"['Confinement', 'Puzzle Game', 'Western-style Mansion', 'Otome Game', 'Multiple Endings', 'More Than Seven Endings', 'Mystery', 'University Student Protagonist', 'No Sexual Content', 'Female Protagonist', 'Hero with Glasses', 'Dark Skinned Protagonist', 'Under the Same Roof', 'Artist Hero', 'Scientist Hero', 'Side Portraits', 'Multiple Route Mystery', 'Bad Ending(s)', 'Religious Hero', 'Student Hero', 'Skippable Gameplay', 'Achievements', 'ADV', 'Bad Endings with Story', 'Bisexual Hero', 'Branching Plot', 'Colored Name-tags', 'Ending List', 'Romance', 'Smoker Hero']"
782,Niizuma LOVELY x CATION,2017-04-28,7.47,2.47,Long,"['Dating Simulation', 'Highly Animated Sprites', 'Protagonist with Voiced Changeable Names', 'Romance', 'Adult Heroine', 'Adult Protagonist', 'ADV', 'Heroine with Big Breasts', 'High School Student Heroine', 'Lip Sync', 'Male Protagonist', 'Multiple Endings', 'Ojousama Heroine', 'Only Virgin Heroines', 'Small Breast Sizes Heroine (Non-Loli)', 'Student Heroine', 'Teacher Heroine', 'Wedding', 'Baker Heroine', 'Shy Heroine', 'Nameable Protagonist']"
783,Steam Prison,2016-12-16,7.15,2.47,Very long,"['Discrimination', 'Dystopia', 'Life and Death Drama', 'Slums', 'Otome Game', 'Falsely Accused', 'Sword Wielding Protagonist', 'Steampunk', 'Correct Choice Indicator', 'Government', 'Multiple Route Mystery', 'Other Perspectives', 'Confinement', 'Adult Protagonist', 'Attempted Suicide', 'Blackmail', 'Boke Protagonist', 'Bookworm Hero', 'Changeable Font', 'Child Abuse', 'Chosen Choices Marking', 'Completion Status Indicator', 'Ending List', 'Ending Scene Recollection', 'More Than Seven Endings', 'Music Recollection', 'No Sexual Content', 'Protagonist with a Face', 'Read Text Marking', 'Relationship Chart']"
784,PRETTY x CATION 2,2015-04-24,7.18,2.47,Medium,"['High School Student Heroine', 'Protagonist with Voiced Changeable Names', 'Romance', 'Highly Animated Sprites', 'Co-worker Heroine', 'Dating Simulation', 'High School', 'Map Movement', ""Protagonist's Kouhai as a Heroine"", ""Protagonist's Senpai as a Heroine"", 'ADV', 'Bookworm Heroine', 'Clothing Damage', 'Coodere Heroine', 'Date Display', 'Early Branching Plot', 'Gauge Display', 'Heroine with Ahoge', 'Heroine with Big Breasts', 'Heroine with Small Breasts (Non-Loli)', 'High School Student Protagonist', 'Male Protagonist', 'Multiple Endings', 'Naked Sprites', 'Only Virgin Heroines', ""Protagonist's Pronoun Choice"", 'Sprite Viewer', 'System Time Events', 'Bad Ending(s)']"
785,Escalation ~Kyouai no Fugue~,2007-08-31,5.52,2.47,Short,"['Student Protagonist', 'Ojousama Heroine', 'All-girls School', 'Female Protagonist', 'Girl x Girl Romance Only', 'Protagonist with Voice Acting', 'Student Heroine', 'Protagonist with a Sprite', 'Protagonist with a Face', 'ADV', 'Heroine with Sexual Experience', 'Naked Sprites']"
786,Tayutama -Kiss on My Deity-,2008-07-11,7.36,2.46,Medium,"['Achievements', 'Deities', 'Male Protagonist', 'Multiple Endings', 'Multiple Songs', 'Shy Heroine', 'Student Heroine', 'Student Protagonist', 'Fictional Beings', 'Kitsune Heroine', 'Ojousama Heroine', 'Shinto Shrine', 'Only Virgin Heroines', 'Romance', 'Branching Plot', 'Brocon Heroine', 'Cousin Romance', 'Fighting Heroine', 'Genius Heroine', 'Multiple Opening Movies', 'Protagonist with a Face', 'Track Display', 'ADV']"
787,Taimanin Asagi Gaiden ~Chaos Arena Hen~,2005-12-29,5.85,2.46,Very short,"['Heroine with Catsuit', 'Kinetic Novel', 'Ninja Protagonist', 'Protagonist with a Face', 'Protagonist with Voice Acting', 'Single Ending', 'Big Breast Sizes Heroine', 'Kunoichi Heroine', 'Female Protagonist', 'ADV', 'Duel', 'Heroine with Bodystocking', 'Heroine with Garter Belt', 'Heroine with Glasses', 'Stockings', 'Mind Control', 'Villainous Heroine']"
788,Amaenbo ~Sei o Osaekirenai Boku to Mushou no Oyako~,2019-09-10,7.52,2.46,Medium,"['Pixel Art', 'Shota Protagonist', 'Fast Mini-games', 'Married Heroine', ""Protagonist's Aunt as a Heroine"", ""Protagonist's Cousin as a Heroine"", 'Summer', 'Map Movement', 'Heroine with Big Breasts', 'Floating Textbox', 'Game Over', 'Gyaru Heroine', 'Infidelity', 'Nameable Protagonist', 'No Backlog', 'RPG', 'Dating Simulation', 'Athlete Heroine', 'Fortune-teller Heroine', 'Shopkeeper Heroine']"
789,Kanojo x Kanojo x Kanojo Dokidoki Full Throttle!,2009-02-27,7.15,2.45,Short,"['Early Branching Plot', 'Heroine with Small Breasts (Non-Loli)', 'High School Student Heroine', 'High School Student Protagonist', 'Romancing a Family', 'Foolish Friend', 'Under the Same Roof', 'Male Protagonist', 'Comedic Love Triangle', 'ADV', 'Twin Tail Heroine', 'Multiple Endings', 'Fictional Modern Day Japanese Town', 'Harem Ending', 'Class President Heroine', 'Deredere Heroine', 'Donkan Protagonist', 'Heroine with Glasses', 'Heroine with Gothic Look', 'Naked Sprites', 'Protagonist with a Face', ""Super Deformed CG's"", 'Unlockable Bonus Content', 'Map Movement', 'Date Display', 'Protagonist with a Sprite', 'Protagonist with Voice Acting']"
790,Princess X ~Boku no Iinazuke wa Monsterkko!?~,2011-09-22,5.91,2.45,Medium,"['Male Protagonist', 'Monster Girl Heroine', ""Protagonist's Fiancee as a Heroine"", 'Monster Girl Support Character', 'ADV', 'Comedy', 'Bad Endings with Story', 'Bleep Censor', 'Changeable Font', 'Macrophilia', 'Magic', 'Modern Day Japan', ""Protagonist's Sister as a Support Character"", 'Robot Heroine', 'Student Protagonist', 'Varying Ending Songs', 'Mother Support Character', 'Protagonist with Glasses', 'Furry']"
791,Erect!,2012-06-29,7.32,2.45,Medium,"['Demon Heroine', 'Nympho Heroine', 'Succubus Heroine', 'Deredere Heroine', 'Heroine with Visible Panties', 'Unlockable Harem Ending', 'Multiple Endings', 'ADV', 'Classic Tsundere Heroine', 'Heroine with Garter Belt', 'Heroine with Tights', 'Twin Tail Heroine', 'Comedy', 'School', 'Naked Sprites', 'Tsundere Heroine', 'Romance', 'Heroine with Swimsuits', 'Sickly Heroine', 'Other Perspectives', 'Protagonist with a Face', 'Female Protagonist for a Short Time']"
792,Amakano 2,2020-04-24,7.73,2.45,Medium,"['Male Protagonist', 'Only Good Endings', 'Pure Love Story', 'Slice of Life', 'Date Display', 'High School Student Heroine', 'Other Perspectives', 'Romance', 'ADV', 'High School Student Protagonist', 'Changeable Font', 'Early Branching Plot', 'Heroine with Big Breasts', 'Imouto-type Heroine', 'Lip Sync', 'Modern Day Japan', 'Multiple Endings', 'Nameable Protagonist', 'Oneesan-type Heroine', 'Only Virgin Heroines', 'Pragmatic Heroine', ""Protagonist's Cousin as a Heroine"", ""Super Deformed CG's"", 'Under the Same Roof', 'Voiced Default Name', 'Autumn']"
793,Mesu Kyoushi 4 ~Kegasareta Kyoudan~,2014-12-19,7.64,2.44,Medium,"['ADV', 'Heroine with Tights', 'Male Protagonist', 'Nameable Protagonist', 'Stockings', 'Student Protagonist', 'Teacher Heroine', 'Adult Heroine', 'Big Ass Heroine', 'Ejaculation Forewarner', 'Harem Ending', 'Heroine with Big Breasts', 'Heroine with Erotic Adhesive Bandage', 'Heroine with Huge Breasts', 'Heroine with Sport Bloomers', 'Heroine with Swimsuits', 'Impregnation', 'Marriage Ending', 'Nude Filter', 'Only Adult Heroines', 'Only Virgin Heroines', 'Sprite Viewer']"
794,SNATCHER,1988-11-26,7.57,2.44,Short,"['Amnesia', 'Interactive Movie', 'Mystery', 'Pixel Art', 'Shooter Game', 'Interactive Adventure Game', 'Cyberpunk', 'Detective Work', 'Future Earth', 'Crime', 'Police Officer Protagonist', 'Science Fiction', 'Adult Protagonist', 'Protagonist with a Face', 'ADV', 'Non-Japanese Voice Acting', 'Police', 'Proactive Protagonist', 'Robots', 'Pistol Combat', 'Side Portraits', 'Artificial Intelligence', 'Bloody Scenes', 'No Sexual Content', 'Voice Only Parts']"
795,Akane Iro ni Somaru Saka,2007-07-27,7.10,2.44,Medium,"['Arranged Marriage', 'Episodic Story', 'Foolish Parent Support Character', 'High School Student Heroine', 'High School Student Protagonist', ""Protagonist's Full Sister as a Heroine"", ""Protagonist's Younger Sister as a Heroine"", 'Brother/Sister Romance', 'Heroine with Zettai Ryouiki', 'Romance', 'Breaking the Fourth Wall', 'Modern Day Japan', 'High School', 'Heroine with a Fang', 'Male Protagonist', 'Multiple Endings', 'Ojousama Heroine', 'Protagonist with a Face', 'Unlockable Hero(ine)', 'Unlockable Routes', 'ADV', 'In Medias Res', 'Long Common Route', 'Lots of Choices', 'Multi-Selection Choices', 'No ""Keep Voice on Click"" Option', 'Other Perspectives', 'Protagonist with a Sprite', 'Late Branching Plot', 'Bad Ending(s)']"
796,Sono Hanabira ni Kuchizuke o: New Gen!,2015-06-26,6.94,2.44,Medium,"['Girl x Girl Romance Only', 'Internet', 'Lesbian Heroine', 'Lesbian Protagonist', 'Twin Sisters as Heroines', 'All-girls School', 'ADV', 'Female Protagonist', 'Girl x Girl Romance', 'Multiple Protagonists', 'Kissing Scene', 'Adolescent Romance', 'Airhead Protagonist', 'Athlete Protagonist', 'Deredere Heroine', 'Ejaculation Forewarner', 'Enforced Playing Order', 'Multiple Endings', 'Naked Sprites', 'Ojousama Heroine', ""Protagonist's Childhood Friend as a Heroine"", 'Music Recollection']"
797,Shounen to Chijo Oneesan-tachi no Shiawase H na Apart-gurashi,2014-07-27,6.56,2.43,Short,"['Big Breast Sizes Heroine', 'Shotacon Heroine', 'Shota Protagonist', 'Heroine with Sexual Experience', 'Perverted Heroine', 'Promiscuous Heroine', 'Summer', 'Businesswoman Heroine', 'Linear Plot', 'Student Council President Heroine', 'Naked Sprites', 'Nympho Heroine', 'Mangaka Heroine', 'Adult Heroine', 'Ambient Sounds', 'ADV', 'Heroine with Big Breasts', 'Heroine with Huge Breasts', 'High School Student Heroine']"
798,Boku Mama x Tomo Mama Koukan Hameppu Life ~Bosei Afureru Bokura no Kyonyuu Mama-tachi wa Haitoku ni Mimodae Nagara Amaenbou o Musabori Aegu~,2018-11-30,7.10,2.43,Medium,"['Shota Protagonist', 'Child Protagonist', 'Built-in Flowchart', 'Other Perspectives', 'Voiced Thoughts', 'Adult Heroine', 'ADV', 'Bad Ending(s)', 'Bad Endings with Story', 'Betrayal', 'Blackmail', 'Female Protagonist', 'Heroine with Children', 'Heroine with Sexual Experience', 'Highly Animated Sprites', 'Kissing Scene', 'Lip Sync', 'Love Hotel', 'Male Protagonist', 'More Than Seven Endings', 'Mother/Son Romance', 'Multiple Endings', 'Multiple Protagonists', 'Naked Heroine with Apron', 'Naked Sprites', ""Protagonist's Blood-related Mother as a Heroine"", 'Shotacon Heroine', 'Threesome Ending', 'Unlockable Harem Ending']"
799,Always Remember Me,2011-04-22,5.98,2.43,Short,"['Non-Japanese Voice Acting', 'Dating Simulation', 'Female Protagonist', 'Otome Game', 'Date Display', 'Love Triangle', 'Multiple Endings', 'No Sexual Content', 'Amnesia', 'One True End', 'Writer Protagonist', 'Adult Protagonist', 'ADV', 'Co-worker Hero', 'Medical Doctor Hero', 'Only Adult Heroes', 'Part-time Job', ""Protagonist's Fiance as a Hero"", 'Protagonist with a Face', 'Hero with Glasses', 'Lots of Character Sprites', 'Summer', 'Raising Simulation']"
800,Shan Gui,2012,5.86,2.43,Very short,"['Female Protagonist', 'Kinetic Novel', 'Non-Japanese Voice Acting', 'ADV', 'No Sexual Content', 'Single Ending', 'Modern Day China', 'Drama', 'Friendship', 'Linear Plot', 'Only a Single Heroine', 'Protagonist with a Face', 'Protagonist with Glasses', 'Protagonist with Voice Acting', 'Slice of Life', 'Girl x Girl Romance', 'Lots of Event CGs']"
801,Yachoukitan,2006-05-19,6.41,2.43,Short,"['Few Choices', 'Mute Heroine', 'NVL', 'Black and White', 'Albino Heroine', 'Photographic Backgrounds', 'No Sexual Content', 'Only a Single Heroine', 'Descriptions of Violence', 'Western-style Mansion', 'Modern Day Setting in a Fictional World', 'Protagonist with a Face', 'Mystery', 'Romance', 'Multiple Endings', 'Fantasy', 'Identity Crisis']"
802,WORDS-WORTH,1993-07-22,7.10,2.42,Long,"['Action', 'Linear Plot', 'Dungeon Crawling Game', 'RPG', 'Male Protagonist', 'ADV', 'Past Setting in a Fictional World', 'Catgirl Heroine', 'Multiple Endings', 'Soldier Protagonist', 'Meaningless Choices', 'Soldier Heroine', 'Sword Wielding Protagonist', 'Father Support Character', 'Heroine with Armor', 'Mage Heroine', 'Romance', 'Combat with Bladed Weapons', 'Dark Skinned Characters', 'Fantasy', 'Combat Archery']"
803,X-Note,2011-03-08,6.81,2.42,Short,"['ESP', 'Female Protagonist', 'Student Protagonist', 'Otome Game', 'ADV', 'Multiple Route Mystery', 'Murder Mystery', 'Protagonist with a Face', 'Date Display', 'Fast Mini-games', 'No Sexual Content', 'Mystery', 'Password System', 'Romance', 'Side Portraits', 'Tsundere Protagonist', 'Unlockable Bonus Content', 'Sprite Viewer', 'Character Profiles', 'Music Recollection', 'Unlockable Gallery']"
804,Seduce Me,2015-02-14,6.02,2.41,Medium,"['Incubus Hero', 'Non-twin Hero Brothers', 'Protagonist with a Face', 'Demon Hero', 'Incubi', 'High School', 'ADV', 'Demons', 'Female Protagonist', 'Non-human Hero', 'Ojousama Heroine', 'Otome Game', 'Both Male and Female Love Interests', 'High School Student Protagonist', 'Magic', 'More Than Seven Endings', 'Multiple Endings', 'Nameable Protagonist', 'Rich Protagonist', 'Romance', 'Side Portraits', 'Under the Same Roof', 'Lots of Choices', 'Non-Japanese Voice Acting', 'Bad Ending(s)', 'Unlockable Bonus Content', 'Timed Choices', 'Lots of Event CGs', 'No Sexual Content']"
805,Love Sweets,2014-04-25,6.59,2.41,Medium,"['Brother/Sister Romance', 'Choices with 4 or More Options', 'Co-worker Heroine', 'Waitress Heroine', 'High School Student Heroine', 'High School Student Protagonist', 'ADV', 'Branching Plot', 'Multiple Endings', ""Protagonist's Full Sister as a Heroine"", ""Protagonist's Younger Sister as a Heroine"", 'Slice of Life Comedy', 'Homemaker Protagonist', 'Male Protagonist', 'Only Virgin Heroines', 'Part-time Job', 'Food Discussions', 'Romance', 'Baker Heroine', 'Date Display', 'Game Over', 'Highly Animated Sprites', 'Multiple Credit Rolls', 'Music Recollection', 'Other Perspectives', 'Unlockable Gallery', 'Naked Sprites', 'Short Common Route']"
806,Isekai Sakaba no Sextet ~Vol.1 New World Days~,2020-11-05,6.60,2.41,Short,"['Bar', 'Brief Branches Only', 'Cook Protagonist', 'Nameable Protagonist', 'Only Virgin Heroines', 'Past Setting in a Fictional World', 'Unavoidable Harem Ending', 'Waitress Heroine', 'Protagonist from a Different World', 'Backlog Jump', 'Catgirl Heroine', 'Co-worker Heroine', 'Fantasy', 'Heroine with a Fang', 'Highly Animated Sprites', 'Male Protagonist', 'No ""Keep Voice on Click"" Option', 'Adult Heroine', 'Cliffhanger Ending', 'Donkan Protagonist', 'Heroine with Big Breasts', 'Heroine with Small Breasts (Non-Loli)', 'Music Recollection', 'No Opening Movie', 'Read Text Marking', 'Unlockable Gallery', 'Forced Auto-Read Sections']"
807,Mugen Renkan ~Chijoku ni Mamireshi Fushiki no Rinbu~,2011-11-25,7.01,2.41,Medium,"['Combat Capable Friends', 'Dark Fantasy', 'Enforced Playing Order', 'Music Recollection', 'Protagonist with Big Breasts', 'Unlockable Epilogue', 'Passage of Time', 'Coming-of-Age Drama', 'Immortal Protagonist', 'ADV', 'Bad Ending(s)', 'Multiple Endings', 'One True End', 'Slave Protagonist', 'Female Protagonist', 'Bad Endings with Story', 'Unlockable Side Stories', 'Episodic Story', 'Fantasy', 'Middle Ages Europe', 'Graphic Violence', 'Heroine with Big Breasts', 'Heroine with Huge Breasts', 'Meiji Era', 'Miko Heroine']"
808,Carpe Diem,2015-11-30,5.09,2.40,Very short,"['ADV', 'Only a Single Heroine', 'Few Choices', 'Single Ending', 'Male Protagonist', 'Colored Name-tags', 'No Event CGs', 'No Gallery', 'No Sexual Content', 'Ponytail Heroine']"
809,Dot Kareshi -We're 8bit Lovers-,2013-07-24,7.02,2.40,Medium,"['Confinement in a Simulated Reality', 'More Than Seven Endings', 'Fantasy', 'Journey', 'More Than Seven Heroes', 'Player as a Character', '100% Completion Bonus', 'Comedy', 'Otome Game', 'Protagonist from a Different World', 'Branching Plot', 'Lip Sync', 'Parody', 'Female Protagonist', 'Unnamed Protagonist', 'Romance', 'Correct Choice Indicator', 'Mage Hero', 'Monk Hero', 'Only Good Endings', 'Gamer Protagonist', 'ADV', 'Dancer Hero', 'Normal Scene Recollection', 'Built-in Encyclopedia', 'Backlog Jump', 'Ending Scene Recollection', 'Jump to Next Choice', 'Music Recollection', 'Relationship Chart']"
810,Saiminjutsu 2,2007-09-28,7.45,2.40,Medium,"['High School Student Protagonist', 'Mother Support Character', ""Protagonist's Blood-related Mother as a Heroine"", 'Adult Heroine', 'Male Protagonist', ""Protagonist's Aunt as a Heroine"", 'Wedding', 'Bad Ending(s)', 'High School', 'Naked Sprites', ""Protagonist's Childhood Friend as a Heroine"", 'Protagonist with a Face', 'Bullying', 'Family', 'Heroine with Sexual Experience', 'Impregnation', 'Married Heroine', 'Mind Control', 'ADV', 'Other Perspectives', 'Music Recollection', 'Unlockable Side Stories']"
811,Natsuzora no Perseus,2012-12-21,7.03,2.40,Medium,"['Central Heroine', 'Enforced Playing Order', 'Heroine with Big Breasts', 'High School', 'One True End', ""Protagonist's Full Sister as a Heroine"", ""Protagonist's Younger Sister as a Heroine"", 'Male Protagonist', 'Only Virgin Heroines', 'Few Choices', 'Fictional Modern Day Japanese Countryside', 'Varying Ending Songs', 'ADV', 'Summer', 'Only Good Endings', 'Brother/Sister Romance', 'Brocon Heroine', 'Dying Heroine', 'Lip Sync', 'Unlockable Routes', 'Early Branching Plot', 'Sunflowers', 'Airhead Heroine', 'Countryside', 'Lots of Character Sprites', 'Lots of Event CGs', 'Multiple Endings', 'Nakige', 'Branching Plot']"
812,HEARTWORK -Symphony of Destruction-,1997-12-19,5.97,2.39,Short,"['Game Over', 'More Than Seven Endings', 'Male Protagonist', 'Ending List', 'High Amount of Bad Endings', 'Bad Ending(s)', 'Student Protagonist', 'Protagonist with a Face', 'Protagonist with Voice Acting', 'ADV', 'Early Branching Plot', 'Female Friend', 'Violence', 'Lots of Choices', 'Pistol Combat', 'Multiple Endings', 'Heroine with Glasses', 'Heroine with Zettai Ryouiki', 'Crime', 'Police Officer Heroine', ""Protagonist's Sister as a Support Character"", 'Stockings', 'Student Heroine', 'Bad Endings with Story', 'Panchira', ""Protagonist's Childhood Friend as a Heroine"", 'High School', 'Protagonist with a Sprite', 'Other Perspectives']"
813,Loren The Amazon Princess,2012-04-30,6.77,2.39,Medium,"['Medieval Fantasy', 'Protagonist with a Face', 'Both Male and Female Love Interests', 'RPG', 'Map Movement', 'Fighting Protagonist', 'Difficulty Settings', 'Fighting Princess Heroine', 'Sword Wielding Heroine', 'Protagonist Selection', 'War', 'Fighting Hero', 'Protagonist with a Sprite', 'Slave Protagonist', 'Fighting Heroine', 'Past Setting in a Fictional World', 'Central Heroine', 'Elf Hero', 'Sexual Innuendo', 'Fantasy', 'Multiple Protagonists', 'Protagonist Gender Choice', 'Third-person Narrative', 'Only Adult Heroes', 'Achievements', 'Multiple Endings', 'Cheat Codes', 'Few Event CGs', 'Optional Gameplay', 'Skippable Gameplay']"
814,CARNIVAL,2004-05-14,6.99,2.39,Medium,"['Blind Choices', 'Central Heroine', 'Drama', 'Enforced Playing Order', 'Madness', 'More Than Seven Endings', 'Suspense', 'Thriller', 'Villainous Protagonist', 'Bad Ending(s)', 'Scenario Selection', 'Crime', 'Festival', 'Bullying', 'Romance', 'ADV', 'Brief NVL Scenes', 'Male Protagonist', 'NVL', 'Branching Plot', 'High Amount of Bad Endings', 'High School Student Heroine', 'High School Student Protagonist', 'Modern Day', 'On the Run', 'Protagonist with a Face', 'Multiple Protagonists']"
815,Nyan Café Macchiato ~Neko ga Iru Café no Ecchi Jijou~,2013-08-30,6.73,2.38,Medium,"['Ejaculation Forewarner', 'Heroine with Big Breasts', 'High School Student Heroine', 'Part-time Job', 'Polyamory', ""Protagonist's Employee as a Heroine"", 'Scenario Selection', 'Time Jump', 'Jealousy', 'Cats', 'Nekomimi Heroine', 'All-girls School', 'Deredere Heroine', 'Fictional Modern Day Japanese Town', 'Late Branching Plot', 'Student-Teacher Romance', 'Third-person Narrative', 'Waitress Heroine', 'Cafe', 'Other Perspectives', 'ADV', 'Has Window Transparency Setting', 'Hero(ine) Selection', 'Multiple Endings', 'Music Recollection', 'Read Text Marking', 'Save Memo Function', 'Sprite Viewer', ""Super Deformed CG's"", 'Threesome Ending']"
816,"Meikoku Gakuen Jutai Hen ""Onegai Shimasu... Sensei no Seieki de, Watashi-tachi o Tasukete Hoshiin Desu!""",2016-03-25,7.30,2.38,Long,"['All-girls School', 'Heroine with Eye Covering Hairstyle', 'Naked Sprites', 'Sprite Viewer', 'ADV', 'Classic Tsundere Heroine', 'Ejaculation Forewarner', 'Heroine with Big Breasts', 'Heroine with Sexual Experience', 'Magic', 'Male Protagonist', 'Multiple Endings', 'Nameable Protagonist', 'Nun Heroine', 'Principal Heroine', 'Read Text Marking', 'Teacher Heroine', 'Teacher Protagonist', 'Tsundere Heroine', 'Bad Ending(s)', 'Impregnation', 'Dark Skinned Heroine', 'Heroine with Beauty Mark']"
817,Rougoku no Misleat ~Fukushuu no In'yaku Choukyou~,2009-01-23,6.01,2.38,Short,"['ADV', 'Alien Heroine', 'Confinement', 'Fighting Heroine', 'Leader Heroine', 'Major Antagonist', 'Revenge', 'Arrogant Heroine', 'Villainous Heroine', 'Science Fiction', 'Male Protagonist', 'Multiple Endings', 'Heroine with Leotard', 'Future Earth', 'Impregnation', 'Big Breast Sizes Heroine', 'Combat with Lasers and Beams', 'Few Choices', 'One True End', 'Unlockable Choices', 'Other Perspectives', 'Bad Ending(s)']"
818,Kemomimi Harem Vacation ~Inaka de Nonbiri Mofumofu Kemonomimi Shoujo-tachi to Kozukuri Zanmai~,2016-07-29,5.96,2.38,Short,"['Fictional Modern Day Japanese Countryside', 'Heroine with a Fang', 'Linear Plot', 'Polyamory', ""Protagonist's Childhood Friend as a Heroine"", 'Unavoidable Harem Ending', 'Youkai', 'Kemonomimi Heroine', 'Male Protagonist', 'Only Virgin Heroines', 'Youkai Heroine', 'ADV', 'Countryside', 'Few Choices', 'Harem Ending', 'Single Ending', 'Only Good Endings', 'Braless Heroine', 'Catgirl Heroine', 'Contemporary Fantasy', 'Doggirl Heroine', 'Heroine with Big Breasts', 'Meaningless Choices', 'Naked Sprites', 'No ""Keep Voice on Click"" Option', 'No Opening Movie', 'Brief Branches Only', 'Choices with 4 or More Options', 'Unoriginal Soundtrack']"
